scope,cp_name,terminal_name,distance_km,cycle_time_hours,trips_per_truck_per_day,monthly_demand_tons,daily_demand_tons,trucks_needed,trips_month,monthly_operational_cost_usd,milp_status,milp_solve_time_s,notes,scenario_description
4.1_lane_by_lane,Collection_Point01,Unload_Terminal_A,88.34,5.435,1.407,3943.0,164.29,4,132,,N/A,,,
4.1_lane_by_lane,Collection_Point01,Unload_Terminal_B,105.46,6.101,1.254,4967.0,206.96,6,166,,N/A,,,
4.1_lane_by_lane,Collection_Point01,Unload_Terminal_C,83.0,5.228,1.463,5520.0,230.0,6,184,,N/A,,,
4.1_lane_by_lane,Collection_Point02,Unload_Terminal_A,88.34,5.435,1.407,3104.0,129.33,4,104,,N/A,,,
4.1_lane_by_lane,Collection_Point02,Unload_Terminal_B,105.46,6.101,1.254,2982.0,124.25,4,100,,N/A,,,
4.1_lane_by_lane,Collection_Point02,Unload_Terminal_C,94.0,5.656,1.353,2598.0,108.25,3,87,,N/A,,,
4.1_lane_by_lane,Collection_Point03,Unload_Terminal_A,76.88,4.99,1.533,1391.0,57.96,2,47,,N/A,,,
4.1_lane_by_lane,Collection_Point03,Unload_Terminal_B,75.61,4.941,1.548,3152.0,131.33,3,106,,N/A,,,
4.1_lane_by_lane,Collection_Point03,Unload_Terminal_C,86.0,5.344,1.431,3709.0,154.54,4,124,,N/A,,,
4.1_lane_by_lane,Collection_Point04,Unload_Terminal_A,145.31,7.651,1.0,1187.0,49.46,2,40,,N/A,,,
4.1_lane_by_lane,Collection_Point04,Unload_Terminal_B,139.38,7.42,1.031,1716.0,71.5,3,58,,N/A,,,
4.1_lane_by_lane,Collection_Point04,Unload_Terminal_C,135.0,7.25,1.055,2412.0,100.5,4,81,,N/A,,,
4.1_lane_by_lane,Collection_Point05,Unload_Terminal_A,146.06,7.68,0.996,1705.0,71.04,3,57,,N/A,,,
4.1_lane_by_lane,Collection_Point05,Unload_Terminal_B,140.12,7.449,1.027,1755.0,73.12,3,59,,N/A,,,
4.1_lane_by_lane,Collection_Point05,Unload_Terminal_C,53.0,4.061,1.884,5627.0,234.46,5,188,,N/A,,,
4.1_lane_by_lane,Collection_Point06,Unload_Terminal_A,98.1,5.815,1.316,3658.0,152.42,4,122,,N/A,,,
4.1_lane_by_lane,Collection_Point06,Unload_Terminal_B,132.8,7.164,1.068,3514.0,146.42,5,118,,N/A,,,
4.1_lane_by_lane,Collection_Point06,Unload_Terminal_C,159.0,8.183,0.935,3317.0,138.21,5,111,,N/A,,,
4.1_lane_by_lane,Collection_Point07,Unload_Terminal_A,97.36,5.786,1.322,4953.0,206.38,6,166,,N/A,,,
4.1_lane_by_lane,Collection_Point07,Unload_Terminal_B,132.05,7.135,1.072,1754.0,73.08,3,59,,N/A,,,
4.1_lane_by_lane,Collection_Point07,Unload_Terminal_C,106.0,6.122,1.25,4673.0,194.71,6,156,,N/A,,,
4.1_lane_by_lane,Collection_Point08,Unload_Terminal_A,32.98,3.283,2.331,3617.0,150.71,3,121,,N/A,,,
4.1_lane_by_lane,Collection_Point08,Unload_Terminal_B,67.67,4.632,1.652,4799.0,199.96,5,160,,N/A,,,
4.1_lane_by_lane,Collection_Point08,Unload_Terminal_C,82.0,5.189,1.474,5687.0,236.96,6,190,,N/A,,,
4.1_lane_by_lane,Collection_Point09,Unload_Terminal_A,172.42,8.705,0.879,1620.0,67.5,3,54,,N/A,,,
4.1_lane_by_lane,Collection_Point09,Unload_Terminal_B,170.3,8.623,0.887,1218.0,50.75,2,41,,N/A,,,
4.1_lane_by_lane,Collection_Point09,Unload_Terminal_C,179.0,8.961,0.854,4677.0,194.88,8,156,,N/A,,,
4.1_lane_by_lane,Collection_Point10,Unload_Terminal_A,85.36,5.32,1.438,4315.0,179.79,5,144,,N/A,,,
4.1_lane_by_lane,Collection_Point10,Unload_Terminal_B,69.01,4.684,1.633,1139.0,47.46,1,38,,N/A,,,
4.1_lane_by_lane,Collection_Point10,Unload_Terminal_C,129.0,7.017,1.09,3709.0,154.54,5,124,,N/A,,,
4.1_lane_by_lane,Collection_Point11,Unload_Terminal_A,108.26,6.21,1.232,4772.0,198.83,6,160,,N/A,,,
4.1_lane_by_lane,Collection_Point11,Unload_Terminal_B,94.33,5.669,1.35,3029.0,126.21,4,101,,N/A,,,
4.1_lane_by_lane,Collection_Point11,Unload_Terminal_C,188.0,9.311,0.822,2025.0,84.38,4,68,,N/A,,,
4.1_lane_by_lane,Collection_Point12,Unload_Terminal_A,163.17,8.345,0.917,4158.0,173.25,7,139,,N/A,,,
4.1_lane_by_lane,Collection_Point12,Unload_Terminal_B,161.9,8.296,0.922,2793.0,116.38,5,94,,N/A,,,
4.1_lane_by_lane,Collection_Point12,Unload_Terminal_C,162.0,8.3,0.922,3412.0,142.17,6,114,,N/A,,,
4.1_lane_by_lane,Collection_Point13,Unload_Terminal_A,130.26,7.066,1.083,2276.0,94.83,3,76,,N/A,,,
4.1_lane_by_lane,Collection_Point13,Unload_Terminal_B,114.84,6.466,1.183,4928.0,205.33,6,165,,N/A,,,
4.1_lane_by_lane,Collection_Point13,Unload_Terminal_C,120.0,6.667,1.147,2889.0,120.38,4,97,,N/A,,,
4.1_lane_by_lane,ALL,ALL,,,1.068,128700.0,,168,4307,7638736.68,N/A,,TOTAL -- lane-by-lane,Baseline fleet sizing
4.2_weighted_cycle,ALL,ALL,,6.277,1.219,128700.0,,147,4307,7154161.88,N/A,,weighted_cycle=6.277h,Baseline fleet sizing
4.3_milp,ALL,ALL,,,1.216,128700.0,,147,4290,7152692.97,Optimal,1.03,delivered=128700t,Baseline fleet sizing
